crop,temp,humidity,gas,gradient,gas_trend,humidity_trend,confidence,current_risk,future_risk,time,spatial_score,gas_accel,label
Rice_Paddy,27.02,86.41,886.0,4.361,15.778,0.118,0.835,0.6534,0.6668,M03_H20,0.453,0.433,High_Spoilage_Risk
Wheat,6.05,41.13,523.0,4.867,3.601,-0.164,0.935,0.239,0.2237,M12_H03,0.416,-0.1024,Low_Spoilage_Risk
Garlic,16.16,72.29,1042.9,0.246,2.989,-0.322,0.831,0.2791,0.3177,M09_H13,0.97,1.8655,Moderate_Spoilage_Risk
Rice_Paddy,30.2,55.57,822.2,3.858,4.602,0.951,0.967,0.3227,0.3129,M03_H07,0.537,0.2805,Moderate_Spoilage_Risk
Wheat,34.79,71.87,1351.1,2.501,23.389,-0.172,0.864,0.8407,0.8423,M11_H06,0.7,3.9639,Critical_Spoilage
Rice_Paddy,31.68,56.72,471.1,0.871,-8.162,-0.808,0.907,0.164,0.1561,M06_H09,0.895,0.0829,Low_Spoilage_Risk
Garlic,17.43,90.08,870.4,0.905,36.646,0.756,0.809,0.6252,0.6522,M08_H11,0.807,1.8473,High_Spoilage_Risk
Soybean,31.44,37.81,1106.0,3.231,7.734,0.054,0.889,0.5605,0.5497,M02_H20,0.612,0.7684,High_Spoilage_Risk
Lentil,6.68,43.69,448.0,3.158,-7.46,-0.786,0.84,0.1769,0.2237,M11_H18,0.621,-4.0033,Low_Spoilage_Risk
Onion,13.26,83.32,1221.2,4.46,0.534,1.386,0.936,0.6402,0.6869,M12_H14,0.465,-0.1393,High_Spoilage_Risk
Garlic,1.25,83.13,787.2,1.635,8.546,-0.578,0.734,0.537,0.5708,M08_H00,0.804,-1.1918,High_Spoilage_Risk
Soybean,17.22,60.3,682.6,4.074,-4.19,-0.465,0.99,0.1814,0.234,M07_H13,0.511,1.6998,Low_Spoilage_Risk
Groundnut,9.72,83.23,1158.2,0.807,14.746,2.046,0.848,0.6329,0.6968,M06_H02,0.903,1.2525,High_Spoilage_Risk
Garlic,2.22,75.71,903.5,1.404,-6.326,-1.086,0.821,0.2999,0.31,M09_H18,0.832,-3.9912,Moderate_Spoilage_Risk
Rice_Processed,33.53,38.66,722.1,1.725,-10.397,-0.953,0.964,0.2681,0.2429,M03_H15,0.793,-0.2042,Low_Spoilage_Risk
Rice_Paddy,19.31,84.33,634.6,4.161,9.558,0.918,0.834,0.5483,0.5968,M10_H02,0.501,0.6628,High_Spoilage_Risk
Onion,11.35,54.66,970.8,3.917,5.435,0.143,0.964,0.3112,0.2936,M01_H04,0.53,0.7046,Moderate_Spoilage_Risk
Rice_Processed,15.28,48.26,534.5,0.349,2.901,1.008,0.939,0.0536,0.0712,M05_H00,0.958,-1.14,Safe
Chickpea,31.86,34.23,521.1,1.111,-10.2,0.791,0.961,0.3422,0.3519,M10_H00,0.867,3.1772,Moderate_Spoilage_Risk
Chickpea,26.81,34.7,732.1,3.669,7.431,-0.525,0.987,0.2243,0.2269,M02_H20,0.56,4.9017,Low_Spoilage_Risk
Rice_Processed,28.32,76.9,1138.1,1.779,9.82,-0.142,0.985,0.5572,0.5595,M05_H14,0.787,2.7254,High_Spoilage_Risk
Groundnut,15.92,66.3,733.8,2.072,7.547,1.459,0.933,0.2144,0.207,M08_H23,0.751,-4.1675,Low_Spoilage_Risk
Rice_Paddy,31.42,53.56,885.8,0.901,-17.132,1.66,0.943,0.3091,0.3531,M05_H22,0.892,-1.1707,Moderate_Spoilage_Risk
Rice_Processed,36.97,51.22,854.7,1.277,18.763,0.551,0.878,0.3204,0.3118,M05_H08,0.847,1.6788,Moderate_Spoilage_Risk
Jute_Seed,17.65,78.56,1037.2,1.562,12.18,0.955,0.917,0.5624,0.5977,M12_H23,0.813,0.4573,High_Spoilage_Risk
Rice_Paddy,25.05,55.19,766.1,1.85,12.217,0.542,0.938,0.1146,0.1473,M01_H12,0.778,0.6119,Safe
Groundnut,9.41,60.05,700.4,2.604,-11.719,-0.317,0.903,0.1592,0.1612,M12_H09,0.688,-1.4173,Low_Spoilage_Risk
Rice_Paddy,25.61,65.81,815.8,0.824,-3.854,-0.184,0.823,0.0989,0.0838,M12_H01,0.901,0.9144,Safe
Wheat,12.84,41.17,612.9,4.015,-8.382,0.383,0.881,0.207,0.2469,M03_H03,0.518,-0.6506,Low_Spoilage_Risk
Black_Gram,18.25,42.53,387.8,1.115,-2.451,0.354,0.93,0.0829,0.1008,M08_H00,0.866,-1.2447,Safe
Maize,35.97,68.63,1265.7,0.671,11.054,0.102,0.883,0.4845,0.4807,M09_H17,0.919,1.471,Moderate_Spoilage_Risk
Lentil,6.3,54.89,508.8,4.532,-9.869,0.239,0.964,0.1734,0.2162,M12_H04,0.456,0.7698,Low_Spoilage_Risk
Garlic,-2,84.97,754.0,0.821,2.901,1.592,0.9,0.5917,0.5919,M09_H01,0.901,-1.3438,High_Spoilage_Risk
Onion,23.18,79.45,849.4,3.15,9.589,1.45,0.834,0.5504,0.5956,M04_H13,0.622,3.1087,High_Spoilage_Risk
Rice_Paddy,31.61,66.18,787.5,4.679,2.604,-0.117,0.923,0.3444,0.3883,M05_H09,0.439,-1.1404,Moderate_Spoilage_Risk
Chickpea,27.36,59.38,690.3,4.807,-9.535,-0.299,0.98,0.1963,0.2349,M12_H13,0.423,-1.992,Low_Spoilage_Risk
Potato,17.66,90.13,1083.0,0.336,1.375,-2.034,0.722,0.3,0.2922,M08_H10,0.874,-1.0443,Low_Spoilage_Risk
Onion,1.19,74.6,530.6,4.696,-8.271,0.111,0.955,0.2065,0.2301,M07_H21,0.436,-1.6577,Low_Spoilage_Risk
Black_Gram,17.6,73.24,574.0,3.447,13.628,-0.44,0.881,0.4369,0.4211,M11_H01,0.586,-0.8614,Moderate_Spoilage_Risk
Sugarcane_Ratoon,43.7,50.4,1139.3,0.642,17.184,-0.572,0.97,0.4528,0.4554,M05_H19,0.923,-1.1912,Moderate_Spoilage_Risk
Maize,32.94,59.59,560.9,1.04,11.421,0.042,0.904,0.2915,0.3206,M05_H09,0.875,4.5384,Moderate_Spoilage_Risk
Jute_Seed,38.76,47.41,1002.2,1.578,8.81,-0.675,0.939,0.4854,0.5401,M03_H13,0.811,4.7057,High_Spoilage_Risk
Sugarcane_Ratoon,17.33,94.28,1086.3,2.022,-0.294,1.099,0.736,0.5796,0.5779,M08_H13,0.603,0.3396,High_Spoilage_Risk
Onion,16.08,83.7,1073.0,4.296,3.92,0.523,0.719,0.6333,0.6588,M12_H11,0.484,0.2903,High_Spoilage_Risk
Wheat,15.05,38.46,726.9,0.135,-6.877,-0.959,0.888,0.0831,0.1174,M02_H09,0.984,-0.3419,Safe
Jute_Seed,26.46,49.2,479.9,1.211,-8.615,0.493,0.943,0.0959,0.1258,M09_H09,0.855,-1.0357,Safe
Wheat,35.59,49.86,624.1,3.164,-2.062,-1.427,0.93,0.4451,0.44,M04_H05,0.62,1.0382,Moderate_Spoilage_Risk
Black_Gram,23.0,57.92,679.6,1.474,3.359,-1.868,0.874,0.1099,0.1176,M01_H04,0.823,2.3401,Safe
Black_Gram,18.09,66.63,794.8,3.461,-4.385,-0.536,0.869,0.315,0.3546,M08_H05,0.585,-0.1024,Moderate_Spoilage_Risk
Mustard_Seed,34.98,53.14,1189.1,2.076,13.215,-1.014,0.91,0.5028,0.5017,M12_H05,0.751,4.7584,High_Spoilage_Risk
Rice_Processed,38.52,56.73,535.3,1.368,-0.745,-0.965,0.924,0.3077,0.3163,M11_H20,0.836,0.9739,Moderate_Spoilage_Risk
Garlic,-0.12,58.5,882.5,2.067,5.954,0.79,0.926,0.2872,0.2693,M06_H19,0.752,1.0108,Low_Spoilage_Risk
Maize,12.93,50.02,377.1,2.553,5.92,-0.144,0.987,0.1597,0.2127,M02_H10,0.694,-2.298,Low_Spoilage_Risk
Rice_Processed,16.87,78.94,529.5,4.035,2.586,-0.774,0.985,0.5428,0.5844,M01_H15,0.516,1.3349,High_Spoilage_Risk
Sugarcane_Ratoon,42.01,57.58,1458.6,1.866,16.195,-0.136,0.89,0.5693,0.5691,M02_H15,0.776,3.8296,High_Spoilage_Risk
Maize,34.86,49.78,521.4,3.189,-0.266,-2.171,0.927,0.4197,0.4218,M10_H07,0.617,2.9465,Moderate_Spoilage_Risk
Lentil,30.66,41.72,570.6,2.015,1.655,0.381,0.927,0.3485,0.3656,M10_H02,0.758,0.7156,Moderate_Spoilage_Risk
Garlic,4.61,66.4,832.4,1.553,6.204,0.951,0.889,0.1078,0.099,M05_H19,0.814,1.524,Safe
Rice_Paddy,15.7,53.06,673.2,3.129,-7.194,1.647,0.918,0.1957,0.1922,M02_H01,0.625,0.7932,Low_Spoilage_Risk
Sugarcane_Ratoon,23.3,80.11,997.9,2.305,-6.416,0.703,0.862,0.2227,0.2316,M03_H17,0.723,0.2483,Low_Spoilage_Risk
Wheat,25.33,66.23,897.4,2.669,-1.444,0.67,0.924,0.2577,0.2648,M08_H17,0.68,-2.5832,Low_Spoilage_Risk
Lentil,9.33,49.15,589.8,3.628,-4.661,-0.87,0.986,0.1686,0.1863,M09_H00,0.565,-2.5904,Low_Spoilage_Risk
Garlic,11.56,87.15,1340.9,4.781,22.013,0.624,0.925,0.7785,0.8533,M09_H12,0.39,2.3703,Critical_Spoilage
Black_Gram,19.27,50.67,682.0,3.116,-3.598,-1.188,0.893,0.1456,0.1803,M12_H09,0.626,0.8207,Low_Spoilage_Risk
Groundnut,23.7,48.75,585.6,1.5,3.923,0.642,0.907,0.0918,0.1132,M04_H22,0.82,0.1757,Safe
Lentil,5.64,50.04,504.9,2.3,-0.594,-0.21,0.955,0.146,0.1534,M09_H00,0.724,0.2351,Low_Spoilage_Risk
Soybean,37.65,62.07,1134.6,0.507,7.055,0.737,0.869,0.4447,0.4248,M06_H12,0.939,-0.5696,Moderate_Spoilage_Risk
Chickpea,29.75,70.75,1116.4,4.139,5.801,1.641,0.984,0.648,0.6518,M05_H07,0.503,2.9474,High_Spoilage_Risk
Onion,7.93,83.52,1166.9,2.112,10.705,1.317,0.779,0.5084,0.5371,M03_H04,0.747,1.5507,High_Spoilage_Risk
Sugarcane_Ratoon,40.65,71.25,1159.5,2.022,5.02,0.802,0.918,0.4534,0.4738,M10_H11,0.757,1.7496,Moderate_Spoilage_Risk
Potato,9.59,96.65,1036.1,0.677,-8.371,0.111,0.671,0.4533,0.447,M06_H04,0.725,2.9661,Moderate_Spoilage_Risk
Soybean,34.51,63.62,754.4,0.222,11.424,0.339,0.961,0.297,0.3285,M12_H18,0.973,-0.9106,Moderate_Spoilage_Risk
Rice_Processed,23.24,40.06,732.7,3.981,15.021,-0.81,0.959,0.2316,0.2642,M12_H04,0.522,2.02,Low_Spoilage_Risk
Sugarcane_Ratoon,21.05,88.03,1065.9,3.392,13.895,-0.727,0.817,0.5241,0.5308,M04_H21,0.542,0.539,High_Spoilage_Risk
Sugarcane_Ratoon,23.05,63.75,894.3,3.788,0.379,-0.457,0.828,0.1949,0.2384,M08_H05,0.545,-2.9838,Low_Spoilage_Risk
Soybean,31.46,79.14,1463.8,3.03,-2.889,1.643,0.857,0.9447,0.9658,M07_H11,0.636,-1.1116,Critical_Spoilage
Onion,0.02,81.94,595.2,4.883,12.992,-0.007,0.926,0.4518,0.4794,M07_H06,0.414,2.7733,Moderate_Spoilage_Risk
Wheat,33.24,76.98,1159.8,3.873,16.148,0.495,0.903,0.9692,1.0,M05_H17,0.535,-2.797,Critical_Spoilage
Garlic,0.6,74.53,786.6,3.466,-10.534,-1.694,0.992,0.3852,0.4445,M05_H05,0.584,3.3858,Moderate_Spoilage_Risk
Garlic,12.22,85.13,1073.7,2.374,-0.42,0.536,0.703,0.64,0.6336,M04_H06,0.713,-0.6114,High_Spoilage_Risk
Garlic,13.74,79.49,1219.8,1.98,15.401,1.501,0.984,0.5806,0.6545,M09_H15,0.762,2.4504,High_Spoilage_Risk
Sugarcane_Ratoon,39.11,53.62,652.1,2.479,16.266,-0.132,0.882,0.3978,0.4397,M01_H02,0.703,4.1485,Moderate_Spoilage_Risk
Mustard_Seed,14.41,45.33,736.3,3.7,3.987,0.549,0.913,0.2029,0.2245,M07_H09,0.556,-0.0932,Low_Spoilage_Risk
Groundnut,27.94,68.87,820.1,1.009,10.207,-0.513,0.82,0.5523,0.5803,M11_H04,0.879,2.0449,High_Spoilage_Risk
Mustard_Seed,16.51,63.7,792.5,4.981,-9.443,0.743,0.848,0.3775,0.3764,M04_H18,0.402,1.2509,Moderate_Spoilage_Risk
Mustard_Seed,19.29,76.83,730.6,0.387,6.688,1.158,0.93,0.4586,0.441,M08_H00,0.954,1.0798,Moderate_Spoilage_Risk
Potato,23.41,87.17,768.0,2.861,4.313,-0.249,0.891,0.3916,0.4499,M07_H15,0.621,3.4558,Moderate_Spoilage_Risk
Garlic,2.07,57.55,813.1,3.27,2.767,0.068,0.835,0.215,0.2252,M06_H01,0.608,2.915,Low_Spoilage_Risk
Sugarcane_Ratoon,18.47,62.49,606.1,0.564,-0.388,-0.352,0.89,0.0141,0.0,M01_H02,0.932,1.8061,Safe
Potato,12.12,95.98,422.9,1.822,-13.584,-0.441,0.701,0.2916,0.3133,M07_H17,0.598,0.9451,Moderate_Spoilage_Risk
Groundnut,15.03,47.15,435.4,1.021,-7.095,-0.513,0.823,0.0967,0.1366,M12_H16,0.877,-1.0036,Safe
Jute_Seed,18.24,82.08,1250.9,2.26,13.096,0.369,0.721,0.655,0.6422,M04_H01,0.729,1.1741,High_Spoilage_Risk
Groundnut,30.54,44.33,1106.5,3.697,-10.92,-0.681,0.862,0.6433,0.6198,M01_H19,0.556,-0.3734,High_Spoilage_Risk
Chickpea,3.72,55.19,575.8,1.051,-5.729,0.869,0.981,0.1066,0.0803,M01_H03,0.874,-1.2582,Safe
Onion,6.69,75.19,844.2,3.957,7.192,0.258,0.905,0.2125,0.2132,M05_H15,0.525,-0.7861,Low_Spoilage_Risk
Rice_Paddy,36.76,79.56,1335.1,0.405,11.696,0.671,0.879,0.8168,0.8531,M12_H06,0.951,3.164,Critical_Spoilage
Groundnut,28.78,48.02,634.6,4.442,4.081,-1.491,0.824,0.3996,0.4031,M12_H01,0.467,0.8086,Moderate_Spoilage_Risk
Lentil,21.34,35.85,780.4,1.915,-4.822,0.232,0.862,0.1713,0.1897,M11_H02,0.77,0.7343,Low_Spoilage_Risk
Soybean,30.54,64.07,827.4,0.533,-17.866,1.295,0.919,0.2828,0.2899,M11_H03,0.936,3.7268,Low_Spoilage_Risk
